frame	time/sec	value
0		0.00		0.0
15		0.50		0.0
30		1.00		94.0
45		1.50		173.0
60		2.00		71.0
75		2.50		0.0
90		3.01		10.0
105		3.51		10.0
120		4.01		15.0
135		4.51		15.0
150		5.01		20.0
165		5.51		20.0
180		6.01		24.0
195		6.51		24.0
210		7.01		29.0
225		7.51		29.0
240		8.01		34.0
255		8.51		34.0
270		9.02		40.0
285		9.52		40.0
300		10.02		44.0
315		10.52		44.0
330		11.02		49.0
345		11.52		49.0
360		12.02		54.0
375		12.52		54.0
390		13.02		59.0
405		13.52		59.0
420		14.02		64.0
435		14.52		64.0
450		15.03		70.0
465		15.53		70.0
480		16.03		74.0
495		16.53		74.0
510		17.03		79.0
525		17.53		80.0
540		18.03		84.0
555		18.53		84.0
570		19.03		89.0
585		19.53		89.0
600		20.03		94.0
615		20.53		94.0
630		21.04		99.0
645		21.54		100.0
660		22.04		104.0
675		22.54		104.0
690		23.04		110.0
705		23.54		110.0
720		24.04		115.0
735		24.54		115.0
750		25.04		120.0
765		25.54		120.0
780		26.04		124.0
795		26.54		125.0
810		27.05		130.0
825		27.55		130.0
840		28.05		135.0
855		28.55		135.0
870		29.05		140.0
885		29.55		140.0
900		30.05		145.0
915		30.55		145.0
930		31.05		150.0
945		31.55		150.0
960		32.05		155.0
975		32.56		155.0
990		33.06		160.0
1005		33.56		160.0
1020		34.06		164.0
1035		34.56		165.0
1050		35.06		171.0
1065		35.56		171.0
1080		36.06		175.0
1095		36.56		175.0
1110		37.06		180.0
1125		37.56		180.0
1140		38.06		157.0
1155		38.57		49.0
1170		39.07		4.0
